nome,cpf,matricula,orgao,cargo,competencia,vencimentos,descontos,liquido
Servidor 23,369.962.915-24,A-1022,Secretaria de Administração,Técnico,202401,3639.0,1004.0,2635.0
Servidor 24,555.561.826-71,A-1023,Secretaria da Saúde,Técnico,202404,2827.0,1349.0,1478.0
Servidor 25,395.824.819-91,A-1024,Secretaria de Administração,Técnico,202401,4730.0,1176.0,3554.0
Servidor 26,978.152.891-35,A-1025,Secretaria de Administração,Analista,202404,5531.0,1039.0,4492.0
Servidor 27,316.863.287-50,A-1026,Secretaria da Saúde,Gestor,202403,6451.0,953.0,5498.0
Servidor 28,256.114.912-74,A-1027,Secretaria de Administração,Técnico,202401,7443.0,1487.0,5956.0
Servidor 29,956.938.620-97,A-1028,Secretaria da Saúde,Gestor,202402,4935.0,1403.0,3532.0
Servidor 30,228.747.571-72,A-1029,Secretaria de Administração,Gestor,202402,5876.0,692.0,5184.0
Servidor 31,238.598.692-17,A-1030,Secretaria da Saúde,Analista,202404,7959.0,813.0,7146.0
Servidor 32,774.518.388-14,A-1031,Secretaria de Administração,Técnico,202402,2126.0,1281.0,845.0
Servidor 33,589.330.140-37,A-1032,Secretaria de Administração,Assistente,202401,5177.0,731.0,4446.0
Servidor 34,234.300.939-21,A-1033,Secretaria da Educação,Analista,202402,5056.0,158.0,4898.0
Servidor 35,132.147.602-32,A-1034,Secretaria da Educação,Assistente,202403,2603.0,227.0,2376.0
Servidor 36,673.827.904-53,A-1035,Secretaria de Administração,Gestor,202403,5449.0,835.0,4614.0
Servidor 37,971.825.646-74,A-1036,Secretaria de Administração,Gestor,202404,8024.0,820.0,7204.0
Servidor 38,838.712.561-12,A-1037,Secretaria da Fazenda,Analista,202401,7109.0,1238.0,5871.0
Servidor 39,868.104.317-23,A-1038,Secretaria da Saúde,Analista,202403,6146.0,1332.0,4814.0
Servidor 40,970.894.492-88,A-1039,Secretaria da Fazenda,Assistente,202403,5533.0,625.0,4908.0
Servidor 41,114.957.653-86,A-1040,Secretaria da Educação,Técnico,202401,5367.0,620.0,4747.0
Servidor 42,790.674.963-61,A-1041,Secretaria da Educação,Assistente,202402,5368.0,651.0,4717.0
Servidor 43,195.833.584-32,A-1042,Secretaria da Educação,Analista,202402,5797.0,336.0,5461.0
Servidor 44,330.848.754-52,A-1043,Secretaria da Educação,Assistente,202404,8922.0,1404.0,7518.0
Servidor 45,640.135.624-41,A-1044,Secretaria de Administração,Analista,202402,7526.0,1482.0,6044.0
Servidor 46,938.798.342-95,A-1045,Secretaria da Educação,Assistente,202401,3792.0,1324.0,2468.0
Servidor 47,895.677.781-54,A-1046,Secretaria de Administração,Analista,202403,4861.0,1401.0,3460.0
Servidor 48,673.745.895-37,A-1047,Secretaria de Administração,Analista,202402,7732.0,1358.0,6374.0
Servidor 49,719.655.439-39,A-1048,Secretaria da Educação,Analista,202404,5476.0,593.0,4883.0
Servidor 50,430.739.605-98,A-1049,Secretaria da Educação,Técnico,202402,5417.0,103.0,5314.0
Servidor 51,330.289.324-10,A-1050,Secretaria da Saúde,Assistente,202401,3645.0,765.0,2880.0
Servidor 52,476.382.732-86,A-1051,Secretaria da Fazenda,Assistente,202404,8563.0,541.0,8022.0
Servidor 53,844.358.458-79,A-1052,Secretaria da Educação,Assistente,202402,3205.0,128.0,3077.0
Servidor 54,555.510.748-71,A-1053,Secretaria da Saúde,Analista,202404,5030.0,1232.0,3798.0
Servidor 55,776.324.918-53,A-1054,Secretaria da Saúde,Assistente,202401,4872.0,709.0,4163.0
Servidor 56,763.926.473-41,A-1055,Secretaria da Fazenda,Assistente,202403,5072.0,904.0,4168.0
Servidor 57,707.571.332-61,A-1056,Secretaria de Administração,Analista,202401,3854.0,174.0,3680.0
Servidor 58,212.929.596-67,A-1057,Secretaria da Educação,Gestor,202401,6021.0,937.0,5084.0
Servidor 59,663.367.609-48,A-1058,Secretaria da Fazenda,Analista,202401,6662.0,1269.0,5393.0
Servidor 60,485.486.212-65,A-1059,Secretaria da Educação,Assistente,202401,8514.0,227.0,8287.0
Servidor 61,180.798.212-11,A-1060,Secretaria da Saúde,Analista,202403,7031.0,141.0,6890.0
Servidor 62,741.319.665-96,A-1061,Secretaria da Saúde,Gestor,202403,8030.0,1479.0,6551.0
Servidor 63,835.324.484-28,A-1062,Secretaria de Administração,Analista,202404,4708.0,140.0,4568.0
Servidor 64,737.229.152-53,A-1063,Secretaria da Saúde,Assistente,202402,5502.0,1033.0,4469.0
Servidor 65,829.771.809-41,A-1064,Secretaria da Saúde,Gestor,202403,3332.0,133.0,3199.0
Servidor 66,346.935.538-84,A-1065,Secretaria da Fazenda,Técnico,202403,2201.0,1140.0,1061.0
Servidor 67,283.222.500-47,A-1066,Secretaria da Educação,Assistente,202402,5507.0,1276.0,4231.0
Servidor 68,379.936.983-79,A-1067,Secretaria da Educação,Gestor,202403,8456.0,1097.0,7359.0
Servidor 69,610.851.243-82,A-1068,Secretaria da Fazenda,Gestor,202401,6212.0,687.0,5525.0
Servidor 70,223.286.425-89,A-1069,Secretaria de Administração,Técnico,202401,7032.0,441.0,6591.0
Servidor 71,448.870.759-68,A-1070,Secretaria da Educação,Analista,202402,2574.0,126.0,2448.0
Servidor 72,502.445.610-28,A-1071,Secretaria da Saúde,Analista,202404,8387.0,1410.0,6977.0
Servidor 73,247.963.810-61,A-1072,Secretaria da Educação,Assistente,202404,2536.0,745.0,1791.0
Servidor 74,588.739.650-91,A-1073,Secretaria da Saúde,Técnico,202402,3625.0,830.0,2795.0
Servidor 75,971.740.878-66,A-1074,Secretaria de Administração,Analista,202402,4122.0,267.0,3855.0
Servidor 76,572.250.514-51,A-1075,Secretaria da Fazenda,Técnico,202401,2385.0,709.0,1676.0
Servidor 77,710.362.863-25,A-1076,Secretaria da Educação,Analista,202404,5281.0,367.0,4914.0
Servidor 78,445.723.671-11,A-1077,Secretaria da Fazenda,Gestor,202403,2474.0,920.0,1554.0
Servidor 79,996.403.353-21,A-1078,Secretaria da Educação,Analista,202401,2417.0,554.0,1863.0
Servidor 80,552.136.259-18,A-1079,Secretaria da Saúde,Técnico,202402,8490.0,1005.0,7485.0
Servidor 81,332.198.758-57,A-1080,Secretaria da Fazenda,Gestor,202404,5600.0,1021.0,4579.0
Servidor 82,307.230.503-33,A-1081,Secretaria da Educação,Gestor,202403,8783.0,1080.0,7703.0
Servidor 83,153.219.772-33,A-1082,Secretaria da Saúde,Gestor,202403,7034.0,801.0,6233.0
Servidor 84,727.686.724-81,A-1083,Secretaria da Fazenda,Técnico,202401,2954.0,733.0,2221.0
Servidor 85,519.521.203-93,A-1084,Secretaria da Fazenda,Assistente,202404,6971.0,229.0,6742.0
Servidor 86,353.326.211-98,A-1085,Secretaria da Educação,Assistente,202404,6858.0,1119.0,5739.0
Servidor 87,198.252.960-27,A-1086,Secretaria da Educação,Assistente,202402,7298.0,1486.0,5812.0
Servidor 88,995.977.437-75,A-1087,Secretaria da Educação,Técnico,202404,3205.0,918.0,2287.0
Servidor 89,921.262.819-70,A-1088,Secretaria da Saúde,Gestor,202404,6759.0,792.0,5967.0
Servidor 90,780.260.679-42,A-1089,Secretaria da Educação,Assistente,202401,6120.0,1415.0,4705.0
Servidor 91,497.376.915-29,A-1090,Secretaria da Fazenda,Técnico,202404,3990.0,1494.0,2496.0
Servidor 92,603.995.491-16,A-1091,Secretaria da Fazenda,Assistente,202403,7299.0,893.0,6406.0
Servidor 93,294.500.739-42,A-1092,Secretaria da Educação,Analista,202401,6805.0,128.0,6677.0
Servidor 94,787.559.982-95,A-1093,Secretaria da Educação,Assistente,202401,5572.0,248.0,5324.0
Servidor 95,474.121.849-39,A-1094,Secretaria de Administração,Assistente,202402,7975.0,1419.0,6556.0
Servidor 96,137.329.464-60,A-1095,Secretaria da Fazenda,Gestor,202404,7280.0,110.0,7170.0
Servidor 97,537.875.382-36,A-1096,Secretaria da Saúde,Técnico,202402,8320.0,775.0,7545.0
Servidor 98,325.376.897-37,A-1097,Secretaria de Administração,Gestor,202403,6380.0,1236.0,5144.0
Servidor 99,978.580.552-70,A-1098,Secretaria da Educação,Gestor,202401,6158.0,286.0,5872.0
Servidor 100,915.758.615-44,A-1099,Secretaria da Educação,Gestor,202401,7098.0,906.0,6192.0
Servidor 101,291.148.611-26,A-1100,Secretaria da Fazenda,Gestor,202401,6757.0,843.0,5914.0
Servidor 102,271.319.257-55,A-1101,Secretaria da Educação,Gestor,202403,4713.0,1350.0,3363.0
Servidor 103,472.617.198-46,A-1102,Secretaria da Saúde,Assistente,202403,4203.0,1433.0,2770.0
Servidor 104,379.448.596-55,A-1103,Secretaria da Fazenda,Gestor,202402,7588.0,197.0,7391.0
Servidor 105,280.706.198-69,A-1104,Secretaria da Educação,Gestor,202402,5120.0,154.0,4966.0
Servidor 106,215.290.352-94,A-1105,Secretaria da Fazenda,Técnico,202402,2966.0,722.0,2244.0
Servidor 107,260.355.422-27,A-1106,Secretaria da Educação,Analista,202404,6944.0,763.0,6181.0
Servidor 108,892.834.665-67,A-1107,Secretaria da Educação,Assistente,202401,7203.0,857.0,6346.0
Servidor 109,422.971.785-33,A-1108,Secretaria da Educação,Assistente,202401,5432.0,505.0,4927.0
Servidor 110,725.387.953-32,A-1109,Secretaria da Saúde,Assistente,202402,2688.0,168.0,2520.0
Servidor 111,738.254.589-11,A-1110,Secretaria da Saúde,Gestor,202401,6243.0,1435.0,4808.0
Servidor 112,884.203.492-52,A-1111,Secretaria da Fazenda,Gestor,202402,5701.0,1412.0,4289.0
Servidor 113,345.275.138-51,A-1112,Secretaria da Educação,Gestor,202404,2341.0,850.0,1491.0
Servidor 114,858.637.966-59,A-1113,Secretaria da Educação,Técnico,202404,8619.0,1271.0,7348.0
Servidor 115,507.624.927-16,A-1114,Secretaria da Saúde,Analista,202403,7182.0,1367.0,5815.0
Servidor 116,924.135.784-29,A-1115,Secretaria da Educação,Gestor,202404,3724.0,1057.0,2667.0
Servidor 117,420.875.611-25,A-1116,Secretaria da Saúde,Analista,202402,7479.0,464.0,7015.0
Servidor 118,753.982.570-24,A-1117,Secretaria da Educação,Técnico,202404,8704.0,581.0,8123.0
Servidor 119,191.453.933-41,A-1118,Secretaria da Fazenda,Assistente,202403,6422.0,300.0,6122.0
Servidor 120,826.953.150-34,A-1119,Secretaria da Educação,Gestor,202401,3792.0,253.0,3539.0
Servidor 121,797.674.289-31,A-1120,Secretaria da Educação,Analista,202402,3759.0,172.0,3587.0
Servidor 122,413.669.441-58,A-1121,Secretaria de Administração,Analista,202401,5212.0,812.0,4400.0
Servidor 123,791.781.937-24,A-1122,Secretaria da Saúde,Gestor,202403,2989.0,395.0,2594.0
Servidor 124,153.543.712-17,A-1123,Secretaria da Educação,Assistente,202403,4262.0,1140.0,3122.0
Servidor 125,152.671.719-14,A-1124,Secretaria da Educação,Assistente,202403,4482.0,1340.0,3142.0
Servidor 126,202.295.873-56,A-1125,Secretaria de Administração,Assistente,202401,2951.0,160.0,2791.0
Servidor 127,966.922.919-25,A-1126,Secretaria de Administração,Técnico,202401,2722.0,1038.0,1684.0
Servidor 128,368.469.735-39,A-1127,Secretaria da Saúde,Analista,202401,5389.0,141.0,5248.0
Servidor 129,758.756.219-72,A-1128,Secretaria de Administração,Analista,202401,4079.0,124.0,3955.0
Servidor 130,886.703.157-64,A-1129,Secretaria da Fazenda,Analista,202403,4717.0,1162.0,3555.0
Servidor 131,445.840.573-71,A-1130,Secretaria de Administração,Técnico,202403,4332.0,230.0,4102.0
Servidor 132,890.226.492-21,A-1131,Secretaria da Fazenda,Analista,202402,5376.0,1352.0,4024.0
Servidor 133,740.157.733-10,A-1132,Secretaria da Saúde,Técnico,202402,6524.0,207.0,6317.0
Servidor 134,850.901.195-57,A-1133,Secretaria da Saúde,Assistente,202401,3500.0,271.0,3229.0
Servidor 135,700.587.336-10,A-1134,Secretaria da Saúde,Gestor,202404,2285.0,201.0,2084.0
Servidor 136,371.288.803-72,A-1135,Secretaria da Saúde,Analista,202404,5495.0,965.0,4530.0
Servidor 137,680.889.960-76,A-1136,Secretaria da Saúde,Analista,202403,4065.0,623.0,3442.0
Servidor 138,175.253.755-60,A-1137,Secretaria da Fazenda,Assistente,202403,2768.0,374.0,2394.0
Servidor 139,185.796.384-87,A-1138,Secretaria da Fazenda,Gestor,202403,8733.0,1167.0,7566.0
Servidor 140,319.168.146-71,A-1139,Secretaria da Saúde,Técnico,202402,7490.0,916.0,6574.0
Servidor 141,552.303.317-57,A-1140,Secretaria de Administração,Gestor,202402,5057.0,1056.0,4001.0
Servidor 142,440.650.711-42,A-1141,Secretaria da Educação,Assistente,202403,6289.0,1140.0,5149.0
Servidor 143,353.833.456-32,A-1142,Secretaria da Saúde,Assistente,202403,8645.0,429.0,8216.0
Servidor 144,861.621.857-78,A-1143,Secretaria de Administração,Gestor,202403,7083.0,111.0,6972.0
Servidor 145,199.901.279-19,A-1144,Secretaria da Educação,Técnico,202404,7232.0,1441.0,5791.0
Servidor 146,861.758.541-10,A-1145,Secretaria da Saúde,Técnico,202402,4161.0,315.0,3846.0
Servidor 147,424.615.115-33,A-1146,Secretaria da Saúde,Analista,202404,5293.0,438.0,4855.0
Servidor 148,435.858.357-41,A-1147,Secretaria da Fazenda,Técnico,202404,7797.0,760.0,7037.0
Servidor 149,574.951.763-21,A-1148,Secretaria da Educação,Gestor,202403,2946.0,1204.0,1742.0
Servidor 150,789.774.479-42,A-1149,Secretaria da Educação,Assistente,202403,6926.0,473.0,6453.0
Servidor 151,790.526.712-21,A-1150,Secretaria de Administração,Analista,202401,8016.0,1075.0,6941.0
Servidor 152,934.676.516-49,A-1151,Secretaria da Fazenda,Analista,202401,5335.0,809.0,4526.0
Servidor 153,941.142.655-38,A-1152,Secretaria da Fazenda,Assistente,202404,6150.0,1323.0,4827.0
Servidor 154,496.111.706-55,A-1153,Secretaria da Fazenda,Técnico,202402,6895.0,565.0,6330.0
Servidor 155,997.352.598-44,A-1154,Secretaria da Fazenda,Assistente,202403,6873.0,1212.0,5661.0
Servidor 156,826.948.189-17,A-1155,Secretaria da Educação,Técnico,202403,3481.0,1391.0,2090.0
Servidor 157,704.701.517-16,A-1156,Secretaria da Educação,Assistente,202404,3901.0,588.0,3313.0
Servidor 158,295.925.600-84,A-1157,Secretaria da Saúde,Gestor,202401,8305.0,146.0,8159.0
Servidor 159,512.475.519-98,A-1158,Secretaria da Saúde,Técnico,202402,5451.0,1411.0,4040.0
Servidor 160,376.860.775-19,A-1159,Secretaria da Fazenda,Gestor,202401,6064.0,877.0,5187.0
Servidor 161,968.556.291-58,A-1160,Secretaria da Fazenda,Analista,202401,8230.0,1139.0,7091.0
Servidor 162,198.647.195-33,A-1161,Secretaria da Fazenda,Assistente,202401,2054.0,810.0,1244.0
Servidor 163,762.289.835-46,A-1162,Secretaria da Saúde,Analista,202401,3823.0,500.0,3323.0
Servidor 164,879.468.794-22,A-1163,Secretaria de Administração,Analista,202403,7297.0,1080.0,6217.0
Servidor 165,378.316.966-39,A-1164,Secretaria de Administração,Analista,202403,5462.0,1209.0,4253.0
Servidor 166,372.980.161-93,A-1165,Secretaria da Saúde,Analista,202401,5079.0,349.0,4730.0
Servidor 167,979.828.441-22,A-1166,Secretaria da Saúde,Assistente,202402,2832.0,490.0,2342.0
Servidor 168,798.118.276-21,A-1167,Secretaria da Saúde,Analista,202404,6408.0,434.0,5974.0
Servidor 169,544.332.175-18,A-1168,Secretaria da Saúde,Assistente,202402,4806.0,728.0,4078.0
Servidor 170,554.895.817-61,A-1169,Secretaria da Saúde,Assistente,202402,7954.0,236.0,7718.0
Servidor 171,950.605.466-25,A-1170,Secretaria da Saúde,Gestor,202402,8103.0,982.0,7121.0
Servidor 172,984.168.198-21,A-1171,Secretaria da Fazenda,Técnico,202401,8102.0,787.0,7315.0
Servidor 173,124.990.568-62,A-1172,Secretaria da Fazenda,Técnico,202403,4490.0,926.0,3564.0
Servidor 174,250.243.668-48,A-1173,Secretaria da Fazenda,Assistente,202402,7886.0,826.0,7060.0
Servidor 175,208.792.141-67,A-1174,Secretaria da Fazenda,Gestor,202401,2327.0,693.0,1634.0
Servidor 176,497.322.733-14,A-1175,Secretaria da Saúde,Assistente,202402,8904.0,1346.0,7558.0
Servidor 177,262.314.832-84,A-1176,Secretaria de Administração,Assistente,202402,5310.0,1089.0,4221.0
Servidor 178,757.850.687-18,A-1177,Secretaria da Educação,Assistente,202401,5300.0,471.0,4829.0
Servidor 179,173.591.352-16,A-1178,Secretaria da Saúde,Gestor,202403,8722.0,1034.0,7688.0
Servidor 180,273.752.267-51,A-1179,Secretaria da Educação,Técnico,202403,5675.0,1094.0,4581.0
Servidor 181,492.894.733-75,A-1180,Secretaria de Administração,Gestor,202404,5054.0,501.0,4553.0
Servidor 182,616.128.264-47,A-1181,Secretaria da Fazenda,Analista,202401,7383.0,714.0,6669.0
Servidor 183,438.747.595-74,A-1182,Secretaria de Administração,Gestor,202404,4143.0,1396.0,2747.0
Servidor 184,441.599.756-80,A-1183,Secretaria da Saúde,Gestor,202404,7207.0,1282.0,5925.0
Servidor 185,316.400.231-45,A-1184,Secretaria da Fazenda,Gestor,202404,3311.0,1275.0,2036.0
Servidor 186,169.351.514-28,A-1185,Secretaria da Saúde,Gestor,202403,5191.0,1094.0,4097.0
Servidor 187,544.975.281-48,A-1186,Secretaria da Fazenda,Técnico,202401,8957.0,719.0,8238.0
Servidor 188,190.813.957-28,A-1187,Secretaria da Educação,Analista,202404,4538.0,287.0,4251.0
Servidor 189,138.225.550-54,A-1188,Secretaria da Educação,Técnico,202401,5983.0,1221.0,4762.0
Servidor 190,752.853.319-67,A-1189,Secretaria da Educação,Técnico,202401,6547.0,230.0,6317.0
Servidor 191,759.575.555-70,A-1190,Secretaria de Administração,Gestor,202403,7619.0,904.0,6715.0
Servidor 192,994.460.100-12,A-1191,Secretaria da Saúde,Assistente,202404,2164.0,1294.0,870.0
Servidor 193,447.289.604-72,A-1192,Secretaria de Administração,Assistente,202404,6277.0,1035.0,5242.0
Servidor 194,607.468.508-65,A-1193,Secretaria da Educação,Técnico,202401,8612.0,1085.0,7527.0
Servidor 195,216.233.157-53,A-1194,Secretaria da Saúde,Técnico,202402,7005.0,282.0,6723.0
Servidor 196,784.771.272-70,A-1195,Secretaria da Educação,Gestor,202403,8878.0,1082.0,7796.0
Servidor 197,914.248.179-94,A-1196,Secretaria de Administração,Técnico,202403,2822.0,463.0,2359.0
Servidor 198,302.863.328-45,A-1197,Secretaria de Administração,Gestor,202403,2943.0,138.0,2805.0
Servidor 199,326.758.631-66,A-1198,Secretaria de Administração,Assistente,202403,8097.0,596.0,7501.0
Servidor 200,501.146.332-58,A-1199,Secretaria da Educação,Assistente,202404,8150.0,1472.0,6678.0
