nome;cpf;matricula;orgao;cargo
Servidor 67;283.222.500-47;A-1066;Secretaria da Educação;Assistente
Servidor 68;379.936.983-79;A-1067;Secretaria da Educação;Gestor
Servidor 69;610.851.243-82;A-1068;Secretaria da Fazenda;Gestor
Servidor 70;223.286.425-89;A-1069;Secretaria de Administração;Técnico
Servidor 71;448.870.759-68;A-1070;Secretaria da Educação;Analista
Servidor 72;502.445.610-28;A-1071;Secretaria da Saúde;Analista
Servidor 73;247.963.810-61;A-1072;Secretaria da Educação;Assistente
Servidor 74;588.739.650-91;A-1073;Secretaria da Saúde;Técnico
Servidor 75;971.740.878-66;A-1074;Secretaria de Administração;Analista
Servidor 76;572.250.514-51;A-1075;Secretaria da Fazenda;Técnico
Servidor 77;710.362.863-25;A-1076;Secretaria da Educação;Analista
Servidor 78;445.723.671-11;A-1077;Secretaria da Fazenda;Gestor
Servidor 79;996.403.353-21;A-1078;Secretaria da Educação;Analista
Servidor 80;552.136.259-18;A-1079;Secretaria da Saúde;Técnico
Servidor 81;332.198.758-57;A-1080;Secretaria da Fazenda;Gestor
Servidor 82;307.230.503-33;A-1081;Secretaria da Educação;Gestor
Servidor 83;153.219.772-33;A-1082;Secretaria da Saúde;Gestor
Servidor 84;727.686.724-81;A-1083;Secretaria da Fazenda;Técnico
Servidor 85;519.521.203-93;A-1084;Secretaria da Fazenda;Assistente
Servidor 86;353.326.211-98;A-1085;Secretaria da Educação;Assistente
Servidor 87;198.252.960-27;A-1086;Secretaria da Educação;Assistente
Servidor 88;995.977.437-75;A-1087;Secretaria da Educação;Técnico
Servidor 89;921.262.819-70;A-1088;Secretaria da Saúde;Gestor
Servidor 90;780.260.679-42;A-1089;Secretaria da Educação;Assistente
Servidor 91;497.376.915-29;A-1090;Secretaria da Fazenda;Técnico
Servidor 92;603.995.491-16;A-1091;Secretaria da Fazenda;Assistente
Servidor 93;294.500.739-42;A-1092;Secretaria da Educação;Analista
Servidor 94;787.559.982-95;A-1093;Secretaria da Educação;Assistente
Servidor 95;474.121.849-39;A-1094;Secretaria de Administração;Assistente
Servidor 96;137.329.464-60;A-1095;Secretaria da Fazenda;Gestor
Servidor 97;537.875.382-36;A-1096;Secretaria da Saúde;Técnico
Servidor 98;325.376.897-37;A-1097;Secretaria de Administração;Gestor
Servidor 99;978.580.552-70;A-1098;Secretaria da Educação;Gestor
Servidor 100;915.758.615-44;A-1099;Secretaria da Educação;Gestor
Servidor 101;291.148.611-26;A-1100;Secretaria da Fazenda;Gestor
Servidor 102;271.319.257-55;A-1101;Secretaria da Educação;Gestor
Servidor 103;472.617.198-46;A-1102;Secretaria da Saúde;Assistente
Servidor 104;379.448.596-55;A-1103;Secretaria da Fazenda;Gestor
Servidor 105;280.706.198-69;A-1104;Secretaria da Educação;Gestor
Servidor 106;215.290.352-94;A-1105;Secretaria da Fazenda;Técnico
Servidor 107;260.355.422-27;A-1106;Secretaria da Educação;Analista
Servidor 108;892.834.665-67;A-1107;Secretaria da Educação;Assistente
Servidor 109;422.971.785-33;A-1108;Secretaria da Educação;Assistente
Servidor 110;725.387.953-32;A-1109;Secretaria da Saúde;Assistente
Servidor 111;738.254.589-11;A-1110;Secretaria da Saúde;Gestor
Servidor 112;884.203.492-52;A-1111;Secretaria da Fazenda;Gestor
Servidor 113;345.275.138-51;A-1112;Secretaria da Educação;Gestor
Servidor 114;858.637.966-59;A-1113;Secretaria da Educação;Técnico
Servidor 115;507.624.927-16;A-1114;Secretaria da Saúde;Analista
Servidor 116;924.135.784-29;A-1115;Secretaria da Educação;Gestor
Servidor 117;420.875.611-25;A-1116;Secretaria da Saúde;Analista
Servidor 118;753.982.570-24;A-1117;Secretaria da Educação;Técnico
Servidor 119;191.453.933-41;A-1118;Secretaria da Fazenda;Assistente
Servidor 120;826.953.150-34;A-1119;Secretaria da Educação;Gestor
Servidor 121;797.674.289-31;A-1120;Secretaria da Educação;Analista
Servidor 122;413.669.441-58;A-1121;Secretaria de Administração;Analista
Servidor 123;791.781.937-24;A-1122;Secretaria da Saúde;Gestor
Servidor 124;153.543.712-17;A-1123;Secretaria da Educação;Assistente
Servidor 125;152.671.719-14;A-1124;Secretaria da Educação;Assistente
Servidor 126;202.295.873-56;A-1125;Secretaria de Administração;Assistente
Servidor 127;966.922.919-25;A-1126;Secretaria de Administração;Técnico
Servidor 128;368.469.735-39;A-1127;Secretaria da Saúde;Analista
Servidor 129;758.756.219-72;A-1128;Secretaria de Administração;Analista
Servidor 130;886.703.157-64;A-1129;Secretaria da Fazenda;Analista
Servidor 131;445.840.573-71;A-1130;Secretaria de Administração;Técnico
Servidor 132;890.226.492-21;A-1131;Secretaria da Fazenda;Analista
Servidor 133;740.157.733-10;A-1132;Secretaria da Saúde;Técnico
Servidor 134;850.901.195-57;A-1133;Secretaria da Saúde;Assistente
Servidor 135;700.587.336-10;A-1134;Secretaria da Saúde;Gestor
Servidor 136;371.288.803-72;A-1135;Secretaria da Saúde;Analista
Servidor 137;680.889.960-76;A-1136;Secretaria da Saúde;Analista
Servidor 138;175.253.755-60;A-1137;Secretaria da Fazenda;Assistente
Servidor 139;185.796.384-87;A-1138;Secretaria da Fazenda;Gestor
Servidor 140;319.168.146-71;A-1139;Secretaria da Saúde;Técnico
Servidor 141;552.303.317-57;A-1140;Secretaria de Administração;Gestor
Servidor 142;440.650.711-42;A-1141;Secretaria da Educação;Assistente
Servidor 143;353.833.456-32;A-1142;Secretaria da Saúde;Assistente
Servidor 144;861.621.857-78;A-1143;Secretaria de Administração;Gestor
Servidor 145;199.901.279-19;A-1144;Secretaria da Educação;Técnico
Servidor 146;861.758.541-10;A-1145;Secretaria da Saúde;Técnico
Servidor 147;424.615.115-33;A-1146;Secretaria da Saúde;Analista
Servidor 148;435.858.357-41;A-1147;Secretaria da Fazenda;Técnico
Servidor 149;574.951.763-21;A-1148;Secretaria da Educação;Gestor
Servidor 150;789.774.479-42;A-1149;Secretaria da Educação;Assistente
Servidor 151;790.526.712-21;A-1150;Secretaria de Administração;Analista
Servidor 152;934.676.516-49;A-1151;Secretaria da Fazenda;Analista
Servidor 153;941.142.655-38;A-1152;Secretaria da Fazenda;Assistente
Servidor 154;496.111.706-55;A-1153;Secretaria da Fazenda;Técnico
Servidor 155;997.352.598-44;A-1154;Secretaria da Fazenda;Assistente
Servidor 156;826.948.189-17;A-1155;Secretaria da Educação;Técnico
Servidor 157;704.701.517-16;A-1156;Secretaria da Educação;Assistente
Servidor 158;295.925.600-84;A-1157;Secretaria da Saúde;Gestor
Servidor 159;512.475.519-98;A-1158;Secretaria da Saúde;Técnico
Servidor 160;376.860.775-19;A-1159;Secretaria da Fazenda;Gestor
Servidor 161;968.556.291-58;A-1160;Secretaria da Fazenda;Analista
Servidor 162;198.647.195-33;A-1161;Secretaria da Fazenda;Assistente
Servidor 163;762.289.835-46;A-1162;Secretaria da Saúde;Analista
Servidor 164;879.468.794-22;A-1163;Secretaria de Administração;Analista
Servidor 165;378.316.966-39;A-1164;Secretaria de Administração;Analista
Servidor 166;372.980.161-93;A-1165;Secretaria da Saúde;Analista
Servidor 167;979.828.441-22;A-1166;Secretaria da Saúde;Assistente
Servidor 168;798.118.276-21;A-1167;Secretaria da Saúde;Analista
Servidor 169;544.332.175-18;A-1168;Secretaria da Saúde;Assistente
Servidor 170;554.895.817-61;A-1169;Secretaria da Saúde;Assistente
Servidor 171;950.605.466-25;A-1170;Secretaria da Saúde;Gestor
Servidor 172;984.168.198-21;A-1171;Secretaria da Fazenda;Técnico
Servidor 173;124.990.568-62;A-1172;Secretaria da Fazenda;Técnico
Servidor 174;250.243.668-48;A-1173;Secretaria da Fazenda;Assistente
Servidor 175;208.792.141-67;A-1174;Secretaria da Fazenda;Gestor
Servidor 176;497.322.733-14;A-1175;Secretaria da Saúde;Assistente
Servidor 177;262.314.832-84;A-1176;Secretaria de Administração;Assistente
Servidor 178;757.850.687-18;A-1177;Secretaria da Educação;Assistente
Servidor 179;173.591.352-16;A-1178;Secretaria da Saúde;Gestor
Servidor 180;273.752.267-51;A-1179;Secretaria da Educação;Técnico
Servidor 181;492.894.733-75;A-1180;Secretaria de Administração;Gestor
Servidor 182;616.128.264-47;A-1181;Secretaria da Fazenda;Analista
Servidor 183;438.747.595-74;A-1182;Secretaria de Administração;Gestor
Servidor 184;441.599.756-80;A-1183;Secretaria da Saúde;Gestor
Servidor 185;316.400.231-45;A-1184;Secretaria da Fazenda;Gestor
Servidor 186;169.351.514-28;A-1185;Secretaria da Saúde;Gestor
Servidor 187;544.975.281-48;A-1186;Secretaria da Fazenda;Técnico
Servidor 188;190.813.957-28;A-1187;Secretaria da Educação;Analista
Servidor 189;138.225.550-54;A-1188;Secretaria da Educação;Técnico
Servidor 190;752.853.319-67;A-1189;Secretaria da Educação;Técnico
Servidor 191;759.575.555-70;A-1190;Secretaria de Administração;Gestor
Servidor 192;994.460.100-12;A-1191;Secretaria da Saúde;Assistente
Servidor 193;447.289.604-72;A-1192;Secretaria de Administração;Assistente
Servidor 194;607.468.508-65;A-1193;Secretaria da Educação;Técnico
Servidor 195;216.233.157-53;A-1194;Secretaria da Saúde;Técnico
Servidor 196;784.771.272-70;A-1195;Secretaria da Educação;Gestor
Servidor 197;914.248.179-94;A-1196;Secretaria de Administração;Técnico
Servidor 198;302.863.328-45;A-1197;Secretaria de Administração;Gestor
Servidor 199;326.758.631-66;A-1198;Secretaria de Administração;Assistente
Servidor 200;501.146.332-58;A-1199;Secretaria da Educação;Assistente
